year,frequent_word,site,count_of_frequent_word,url
2019,dr congo,jn,277,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,dr congo,jn,78,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,dr congo,jn,0,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,dr congo,jn,0,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,dr congo,jn,0,"https://arquivo.pt/textsearch?q=dr congo&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,congo,jn,2671,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,congo,jn,1583,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,congo,jn,0,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
2022,congo,jn,0,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20220101&to=20221231&siteSearch=www.jn.pt,jn.pt"
2023,congo,jn,0,"https://arquivo.pt/textsearch?q=congo&prettyPrint=false&from=20230101&to=20231231&siteSearch=www.jn.pt,jn.pt"
2019,direitos humanos,jn,22870,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20190101&to=20191231&siteSearch=www.jn.pt,jn.pt"
2020,direitos humanos,jn,20997,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20200101&to=20201231&siteSearch=www.jn.pt,jn.pt"
2021,direitos humanos,jn,0,"https://arquivo.pt/textsearch?q=direitos humanos&prettyPrint=false&from=20210101&to=20211231&siteSearch=www.jn.pt,jn.pt"
